yr,yd,sl,IsMale,IsMasters,rk_associate,rk_full
25,35,36350,1,0,0,1
13,22,35350,1,0,0,1
10,23,28200,1,0,0,1
7,27,26775,0,0,0,1
19,30,33696,1,1,0,1
16,21,28516,1,0,0,1
0,32,24900,0,1,0,1
16,18,31909,1,0,0,1
13,30,31850,1,1,0,1
13,31,32850,1,1,0,1
12,22,27025,1,0,0,1
15,19,24750,1,0,1,0
9,17,28200,1,0,0,1
9,27,23712,1,1,1,0
9,24,25748,1,0,0,1
7,15,29342,1,0,0,1
13,20,31114,1,0,0,1
11,14,24742,1,1,1,0
10,15,22906,1,1,1,0
6,21,24450,1,1,0,1
5,18,25400,1,0,0,1
11,14,24800,1,0,1,0
5,16,25500,0,0,0,1
3,7,26182,1,1,1,0
3,17,23725,1,1,1,0
10,15,21600,0,1,0,0
11,31,23300,1,1,1,0
9,14,23713,1,1,0,0
4,33,20690,0,1,1,0
6,29,22450,0,1,1,0
1,9,20850,1,0,1,0
8,14,18304,0,0,0,0
4,4,17095,1,0,0,0
4,5,16700,1,0,0,0
4,4,17600,1,0,0,0
3,4,18075,1,0,0,0
3,11,18000,1,1,0,0
0,7,20999,1,0,1,0
3,3,17250,0,0,0,0
2,3,16500,1,0,0,0
2,1,16094,1,0,0,0
2,6,16150,0,0,0,0
2,2,15350,0,0,0,0
1,1,16244,1,0,0,0
1,1,16686,0,0,0,0
1,1,15000,0,0,0,0
0,2,20300,0,0,0,0
16,23,19175,1,1,0,0
8,31,20525,1,1,1,0
7,13,27959,1,0,0,1
8,24,38045,0,0,0,1
9,12,24832,1,0,1,0
